Status of existing checking account;Duration in month;Credit history;Purpose;Credit amount;Savings account/bonds;Present employment since;Installment rate in percentage of disposable income;Personal status and sex;Other debtors / guarantors;Present residence since;Property;Age in years;Other installment plans;Housing;Number of existing credits at this bank;Job;Number of people being liable to provide maintenance for;Telephone;foreign worker;Flag
no checking account;36.0;existing credits paid back duly till now;radio/television;3835.0;unknown/ no savings account;.. >= 7 years;2.0;female : divorced/separated/married;none;4.0;real estate;45.0;none;own;1.0;unskilled - resident;1.0;yes, registered under the customers name;yes;0
... < 0 DM;27.0;no credits taken/ all credits paid back duly;business;5293.0;... < 100 DM;unemployed;2.0;male : single;none;4.0; building society savings agreement/ life insurance;50.0;stores;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
... >= 200 DM / salary assignments for at least 1 year;30.0;delay in paying off in the past;business;1908.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;real estate;66.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
no checking account;36.0;critical account/ other credits existing (not at this bank);radio/television;3342.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;2.0;car or other;51.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;6.0;critical account/ other credits existing (not at this bank);retraining;932.0;unknown/ no savings account;4 <= ... < 7 years;1.0;female : divorced/separated/married;none;3.0; building society savings agreement/ life insurance;39.0;none;own;2.0;unskilled - resident;1.0;none;yes;0
... < 0 DM;18.0;no credits taken/ all credits paid back duly;business;3104.0;... < 100 DM;4 <= ... < 7 years;3.0;male : single;none;1.0; building society savings agreement/ life insurance;31.0;bank;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... >= 200 DM / salary assignments for at least 1 year;36.0;existing credits paid back duly till now;radio/television;3913.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;real estate;23.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;24.0;existing credits paid back duly till now;furniture/equipment;3021.0;... < 100 DM;1 <= ... < 4 years;2.0;male : divorced/separated;none;2.0;real estate;24.0;none;rent;1.0;unskilled - resident;1.0;none;yes;0
no checking account;10.0;existing credits paid back duly till now;car (new);1364.0;... < 100 DM;1 <= ... < 4 years;2.0;female : divorced/separated/married;none;4.0;car or other;64.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;radio/television;625.0;... < 100 DM;... < 1 year;4.0;male : married/widowed;guarantor;1.0;real estate;26.0;bank;own;1.0;unskilled - resident;1.0;none;yes;0
... < 0 DM;12.0;existing credits paid back duly till now;education;1200.0;unknown/ no savings account;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;23.0;bank;rent;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;12.0;existing credits paid back duly till now;radio/television;707.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;2.0;real estate;30.0;bank;own;2.0;skilled employee / official;1.0;none;yes;0
no checking account;24.0;delay in paying off in the past;business;2978.0;unknown/ no savings account;1 <= ... < 4 years;4.0;male : single;none;4.0;real estate;32.0;none;own;2.0;skilled employee / official;2.0;yes, registered under the customers name;yes;0
no checking account;15.0;existing credits paid back duly till now;car (used);4657.0;... < 100 DM;1 <= ... < 4 years;3.0;male : single;none;2.0;car or other;30.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;36.0;no credits taken/ all credits paid back duly;repairs;2613.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;2.0;car or other;27.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;48.0;existing credits paid back duly till now;radio/television;10961.0;.. >= 1000 DM;4 <= ... < 7 years;1.0;male : single;co-applicant;2.0;unknown / no property;27.0;bank;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
... < 0 DM;12.0;existing credits paid back duly till now;furniture/equipment;7865.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;unknown / no property;53.0;none;for free;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
no checking account;9.0;existing credits paid back duly till now;radio/television;1478.0;... < 100 DM;4 <= ... < 7 years;4.0;male : single;none;2.0;car or other;22.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;24.0;existing credits paid back duly till now;furniture/equipment;3149.0;... < 100 DM;... < 1 year;4.0;male : single;none;1.0;unknown / no property;22.0;bank;for free;1.0;skilled employee / official;1.0;none;yes;0
... >= 200 DM / salary assignments for at least 1 year;36.0;existing credits paid back duly till now;radio/television;4210.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;2.0;car or other;26.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
no checking account;9.0;existing credits paid back duly till now;car (new);2507.0;500 <= ... < 1000 DM;.. >= 7 years;2.0;male : single;none;4.0;unknown / no property;51.0;none;for free;1.0;unskilled - resident;1.0;none;yes;0
no checking account;12.0;existing credits paid back duly till now;radio/television;2141.0;100 <= ... < 500 DM;4 <= ... < 7 years;3.0;male : single;none;1.0;unknown / no property;35.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;18.0;existing credits paid back duly till now;radio/television;866.0;... < 100 DM;1 <= ... < 4 years;4.0;male : married/widowed;guarantor;2.0;real estate;25.0;none;own;1.0;unskilled - resident;1.0;none;yes;0
no checking account;4.0;critical account/ other credits existing (not at this bank);radio/television;1544.0;... < 100 DM;4 <= ... < 7 years;2.0;male : single;none;1.0;real estate;42.0;none;own;3.0;unskilled - resident;2.0;none;yes;0
... < 0 DM;24.0;existing credits paid back duly till now;radio/television;1823.0;... < 100 DM;unemployed;4.0;male : single;none;2.0;car or other;30.0;stores;own;1.0;management/ self-employed/ highly qualified employee/ officer;2.0;none;yes;1
0 <= ... < 200 DM;6.0;existing credits paid back duly till now;car (new);14555.0;unknown/ no savings account;unemployed;1.0;male : single;none;2.0; building society savings agreement/ life insurance;23.0;none;own;1.0;unemployed/ unskilled - non-resident;1.0;yes, registered under the customers name;yes;1
0 <= ... < 200 DM;21.0;existing credits paid back duly till now;business;2767.0;100 <= ... < 500 DM;.. >= 7 years;4.0;male : divorced/separated;none;2.0;car or other;61.0;bank;rent;2.0;unskilled - resident;1.0;none;yes;1
no checking account;12.0;critical account/ other credits existing (not at this bank);radio/television;1291.0;... < 100 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;2.0; building society savings agreement/ life insurance;35.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;30.0;existing credits paid back duly till now;radio/television;2522.0;... < 100 DM;.. >= 7 years;1.0;male : single;guarantor;3.0; building society savings agreement/ life insurance;39.0;none;own;1.0;skilled employee / official;2.0;none;yes;0
... < 0 DM;24.0;existing credits paid back duly till now;car (new);915.0;unknown/ no savings account;.. >= 7 years;4.0;female : divorced/separated/married;none;2.0;car or other;29.0;bank;own;1.0;skilled employee / official;1.0;none;yes;1
no checking account;6.0;existing credits paid back duly till now;radio/television;1595.0;... < 100 DM;4 <= ... < 7 years;3.0;male : single;none;2.0; building society savings agreement/ life insurance;51.0;none;own;1.0;skilled employee / official;2.0;none;yes;0
... < 0 DM;48.0;no credits taken/ all credits paid back duly;car (used);4605.0;... < 100 DM;.. >= 7 years;3.0;male : single;none;4.0;unknown / no property;24.0;none;for free;2.0;skilled employee / official;2.0;none;yes;1
no checking account;12.0;critical account/ other credits existing (not at this bank);business;1185.0;... < 100 DM;1 <= ... < 4 years;3.0;female : divorced/separated/married;none;2.0;real estate;27.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
no checking account;12.0;all credits at this bank paid back duly;retraining;3447.0;500 <= ... < 1000 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;3.0;real estate;35.0;none;own;1.0;unskilled - resident;2.0;none;yes;0
no checking account;24.0;existing credits paid back duly till now;business;1258.0;... < 100 DM;4 <= ... < 7 years;4.0;male : single;none;1.0;real estate;25.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;12.0;critical account/ other credits existing (not at this bank);radio/television;717.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;real estate;52.0;none;own;3.0;skilled employee / official;1.0;none;yes;0
no checking account;6.0;no credits taken/ all credits paid back duly;car (new);1204.0;100 <= ... < 500 DM;1 <= ... < 4 years;4.0;male : single;none;1.0;unknown / no property;35.0;bank;rent;1.0;skilled employee / official;1.0;none;no;0
... >= 200 DM / salary assignments for at least 1 year;24.0;existing credits paid back duly till now;furniture/equipment;1925.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;real estate;26.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;18.0;existing credits paid back duly till now;radio/television;433.0;... < 100 DM;unemployed;3.0;female : divorced/separated/married;co-applicant;4.0;real estate;22.0;none;rent;1.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;6.0;critical account/ other credits existing (not at this bank);car (new);666.0;.. >= 1000 DM;4 <= ... < 7 years;3.0;female : divorced/separated/married;none;4.0;real estate;39.0;none;own;2.0;unskilled - resident;1.0;yes, registered under the customers name;yes;0
... >= 200 DM / salary assignments for at least 1 year;12.0;existing credits paid back duly till now;furniture/equipment;2251.0;... < 100 DM;1 <= ... < 4 years;1.0;female : divorced/separated/married;none;2.0;car or other;46.0;none;own;1.0;unskilled - resident;1.0;none;yes;0
0 <= ... < 200 DM;30.0;existing credits paid back duly till now;car (new);2150.0;... < 100 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;guarantor;2.0;unknown / no property;24.0;bank;own;1.0;skilled employee / official;1.0;none;yes;1
no checking account;24.0;delay in paying off in the past;furniture/equipment;4151.0;100 <= ... < 500 DM;1 <= ... < 4 years;2.0;male : single;none;3.0; building society savings agreement/ life insurance;35.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;9.0;existing credits paid back duly till now;furniture/equipment;2030.0;unknown/ no savings account;4 <= ... < 7 years;2.0;male : single;none;1.0;car or other;24.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;60.0;delay in paying off in the past;radio/television;7418.0;unknown/ no savings account;1 <= ... < 4 years;1.0;male : single;none;1.0;real estate;27.0;none;own;1.0;unskilled - resident;1.0;none;yes;0
no checking account;24.0;critical account/ other credits existing (not at this bank);radio/television;2684.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;2.0;real estate;35.0;none;own;2.0;unskilled - resident;1.0;none;yes;0
... < 0 DM;12.0;all credits at this bank paid back duly;radio/television;2149.0;... < 100 DM;1 <= ... < 4 years;4.0;male : divorced/separated;none;1.0;unknown / no property;29.0;none;for free;1.0;skilled employee / official;1.0;none;yes;1
no checking account;15.0;existing credits paid back duly till now;car (used);3812.0;100 <= ... < 500 DM;... < 1 year;1.0;female : divorced/separated/married;none;4.0;car or other;23.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;11.0;critical account/ other credits existing (not at this bank);radio/television;1154.0;100 <= ... < 500 DM;unemployed;4.0;female : divorced/separated/married;none;4.0;real estate;57.0;none;own;3.0;unskilled - resident;1.0;none;yes;0
... < 0 DM;12.0;existing credits paid back duly till now;furniture/equipment;1657.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;real estate;27.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;24.0;existing credits paid back duly till now;radio/television;1603.0;... < 100 DM;.. >= 7 years;4.0;female : divorced/separated/married;none;4.0;car or other;55.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;18.0;critical account/ other credits existing (not at this bank);car (new);5302.0;... < 100 DM;.. >= 7 years;2.0;male : single;none;4.0;unknown / no property;36.0;none;for free;3.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
no checking account;12.0;critical account/ other credits existing (not at this bank);education;2748.0;... < 100 DM;.. >= 7 years;2.0;female : divorced/separated/married;none;4.0;unknown / no property;57.0;bank;for free;3.0;unskilled - resident;1.0;none;yes;0
no checking account;10.0;critical account/ other credits existing (not at this bank);car (new);1231.0;... < 100 DM;.. >= 7 years;3.0;male : single;none;4.0;real estate;32.0;none;own;2.0;unskilled - resident;2.0;none;no;0
0 <= ... < 200 DM;15.0;existing credits paid back duly till now;radio/television;802.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;3.0;car or other;37.0;none;own;1.0;skilled employee / official;2.0;none;yes;1
no checking account;36.0;critical account/ other credits existing (not at this bank);business;6304.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;4.0;real estate;36.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
no checking account;24.0;existing credits paid back duly till now;radio/television;1533.0;... < 100 DM;... < 1 year;4.0;female : divorced/separated/married;none;3.0;car or other;38.0;stores;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;14.0;existing credits paid back duly till now;car (new);8978.0;... < 100 DM;.. >= 7 years;1.0;male : divorced/separated;none;4.0; building society savings agreement/ life insurance;45.0;none;own;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;no;1
no checking account;24.0;existing credits paid back duly till now;radio/television;999.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;2.0;car or other;25.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
no checking account;18.0;existing credits paid back duly till now;car (new);2662.0;unknown/ no savings account;4 <= ... < 7 years;4.0;male : single;none;3.0; building society savings agreement/ life insurance;32.0;none;own;1.0;skilled employee / official;1.0;none;no;0
no checking account;12.0;critical account/ other credits existing (not at this bank);furniture/equipment;1402.0;500 <= ... < 1000 DM;4 <= ... < 7 years;3.0;female : divorced/separated/married;none;4.0;car or other;37.0;none;rent;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;48.0;all credits at this bank paid back duly;car (new);12169.0;unknown/ no savings account;unemployed;4.0;male : single;co-applicant;4.0;unknown / no property;36.0;none;for free;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;48.0;existing credits paid back duly till now;radio/television;3060.0;... < 100 DM;4 <= ... < 7 years;4.0;male : single;none;4.0;real estate;28.0;none;own;2.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;30.0;existing credits paid back duly till now;repairs;11998.0;... < 100 DM;... < 1 year;1.0;male : divorced/separated;none;1.0;unknown / no property;34.0;none;own;1.0;unskilled - resident;1.0;yes, registered under the customers name;yes;1
no checking account;9.0;existing credits paid back duly till now;radio/television;2697.0;... < 100 DM;1 <= ... < 4 years;1.0;male : single;none;2.0;real estate;32.0;none;own;1.0;skilled employee / official;2.0;none;yes;0
no checking account;18.0;critical account/ other credits existing (not at this bank);radio/television;2404.0;... < 100 DM;1 <= ... < 4 years;2.0;female : divorced/separated/married;none;2.0;car or other;26.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;12.0;existing credits paid back duly till now;furniture/equipment;1262.0;unknown/ no savings account;.. >= 7 years;2.0;male : divorced/separated;none;4.0; building society savings agreement/ life insurance;49.0;none;own;1.0;unskilled - resident;1.0;yes, registered under the customers name;yes;0
no checking account;6.0;existing credits paid back duly till now;furniture/equipment;4611.0;... < 100 DM;... < 1 year;1.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;32.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
no checking account;24.0;existing credits paid back duly till now;radio/television;1901.0;100 <= ... < 500 DM;1 <= ... < 4 years;4.0;male : single;none;4.0;car or other;29.0;none;rent;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
no checking account;15.0;critical account/ other credits existing (not at this bank);car (used);3368.0;.. >= 1000 DM;.. >= 7 years;3.0;male : single;none;4.0;unknown / no property;23.0;none;rent;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;12.0;existing credits paid back duly till now;furniture/equipment;1574.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;2.0;real estate;50.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
... >= 200 DM / salary assignments for at least 1 year;18.0;all credits at this bank paid back duly;radio/television;1445.0;unknown/ no savings account;4 <= ... < 7 years;4.0;male : single;none;4.0;car or other;49.0;bank;own;1.0;unskilled - resident;1.0;none;yes;0
no checking account;15.0;critical account/ other credits existing (not at this bank);furniture/equipment;1520.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;none;4.0; building society savings agreement/ life insurance;63.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;24.0;critical account/ other credits existing (not at this bank);car (new);3878.0;100 <= ... < 500 DM;... < 1 year;4.0;male : divorced/separated;none;2.0;car or other;37.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;47.0;existing credits paid back duly till now;car (new);10722.0;... < 100 DM;... < 1 year;1.0;female : divorced/separated/married;none;1.0;real estate;35.0;none;own;1.0;unskilled - resident;1.0;yes, registered under the customers name;yes;0
... < 0 DM;48.0;existing credits paid back duly till now;car (used);4788.0;... < 100 DM;4 <= ... < 7 years;4.0;male : single;none;3.0; building society savings agreement/ life insurance;26.0;none;own;1.0;skilled employee / official;2.0;none;yes;0
0 <= ... < 200 DM;48.0;delay in paying off in the past;others;7582.0;100 <= ... < 500 DM;unemployed;2.0;male : single;none;4.0;unknown / no property;31.0;none;for free;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;radio/television;1092.0;... < 100 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;guarantor;4.0;real estate;49.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
... < 0 DM;24.0;delay in paying off in the past;radio/television;1024.0;... < 100 DM;... < 1 year;4.0;male : married/widowed;none;4.0;real estate;48.0;stores;own;1.0;skilled employee / official;1.0;none;yes;1
no checking account;12.0;existing credits paid back duly till now;business;1076.0;... < 100 DM;1 <= ... < 4 years;2.0;male : married/widowed;none;2.0;real estate;26.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;no;0
0 <= ... < 200 DM;36.0;existing credits paid back duly till now;car (used);9398.0;... < 100 DM;... < 1 year;1.0;male : married/widowed;none;4.0;car or other;28.0;none;rent;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;1
... < 0 DM;24.0;critical account/ other credits existing (not at this bank);car (used);6419.0;... < 100 DM;.. >= 7 years;2.0;female : divorced/separated/married;none;4.0;unknown / no property;44.0;none;for free;2.0;management/ self-employed/ highly qualified employee/ officer;2.0;yes, registered under the customers name;yes;0
... >= 200 DM / salary assignments for at least 1 year;42.0;critical account/ other credits existing (not at this bank);car (used);4796.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;unknown / no property;56.0;none;for free;1.0;skilled employee / official;1.0;none;yes;0
no checking account;48.0;critical account/ other credits existing (not at this bank);business;7629.0;unknown/ no savings account;.. >= 7 years;4.0;male : divorced/separated;none;2.0;car or other;46.0;bank;own;2.0;management/ self-employed/ highly qualified employee/ officer;2.0;none;yes;0
0 <= ... < 200 DM;48.0;existing credits paid back duly till now;furniture/equipment;9960.0;... < 100 DM;... < 1 year;1.0;female : divorced/separated/married;none;2.0;car or other;26.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
no checking account;12.0;existing credits paid back duly till now;car (used);4675.0;unknown/ no savings account;... < 1 year;1.0;female : divorced/separated/married;none;4.0;car or other;20.0;none;rent;1.0;skilled employee / official;1.0;none;yes;0
no checking account;10.0;existing credits paid back duly till now;car (new);1287.0;unknown/ no savings account;.. >= 7 years;4.0;male : single;co-applicant;2.0; building society savings agreement/ life insurance;45.0;none;own;1.0;unskilled - resident;1.0;none;no;0
no checking account;18.0;existing credits paid back duly till now;furniture/equipment;2515.0;... < 100 DM;1 <= ... < 4 years;3.0;male : single;none;4.0;real estate;43.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;21.0;critical account/ other credits existing (not at this bank);furniture/equipment;2745.0;.. >= 1000 DM;4 <= ... < 7 years;3.0;male : single;none;2.0;car or other;32.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;6.0;existing credits paid back duly till now;car (new);672.0;... < 100 DM;unemployed;1.0;female : divorced/separated/married;none;4.0;real estate;54.0;none;own;1.0;unemployed/ unskilled - non-resident;1.0;yes, registered under the customers name;yes;0
0 <= ... < 200 DM;36.0;no credits taken/ all credits paid back duly;radio/television;3804.0;... < 100 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;1.0;car or other;42.0;none;own;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;1
... >= 200 DM / salary assignments for at least 1 year;24.0;critical account/ other credits existing (not at this bank);car (new);1344.0;unknown/ no savings account;4 <= ... < 7 years;4.0;male : single;none;2.0;real estate;37.0;bank;own;2.0;unskilled - resident;2.0;none;yes;1
... < 0 DM;10.0;critical account/ other credits existing (not at this bank);car (new);1038.0;... < 100 DM;4 <= ... < 7 years;4.0;male : single;co-applicant;3.0; building society savings agreement/ life insurance;49.0;none;own;2.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;48.0;critical account/ other credits existing (not at this bank);car (new);10127.0;500 <= ... < 1000 DM;1 <= ... < 4 years;2.0;male : single;none;2.0;unknown / no property;44.0;bank;for free;1.0;skilled employee / official;1.0;none;yes;1
no checking account;6.0;existing credits paid back duly till now;furniture/equipment;1543.0;.. >= 1000 DM;1 <= ... < 4 years;4.0;male : divorced/separated;none;2.0;real estate;33.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;30.0;existing credits paid back duly till now;car (used);4811.0;unknown/ no savings account;4 <= ... < 7 years;2.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;24.0;stores;rent;1.0;unskilled - resident;1.0;none;yes;0
... < 0 DM;12.0;existing credits paid back duly till now;radio/television;727.0;100 <= ... < 500 DM;... < 1 year;4.0;male : married/widowed;none;3.0;unknown / no property;33.0;none;own;1.0;unskilled - resident;1.0;yes, registered under the customers name;yes;1
0 <= ... < 200 DM;8.0;existing credits paid back duly till now;furniture/equipment;1237.0;... < 100 DM;1 <= ... < 4 years;3.0;female : divorced/separated/married;none;4.0;real estate;24.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
0 <= ... < 200 DM;9.0;existing credits paid back duly till now;car (new);276.0;... < 100 DM;1 <= ... < 4 years;4.0;male : married/widowed;none;4.0;real estate;22.0;none;rent;1.0;unskilled - resident;1.0;none;yes;0
0 <= ... < 200 DM;48.0;existing credits paid back duly till now;others;5381.0;unknown/ no savings account;unemployed;3.0;male : single;none;4.0;unknown / no property;40.0;bank;for free;1.0;unemployed/ unskilled - non-resident;1.0;yes, registered under the customers name;yes;0
no checking account;24.0;existing credits paid back duly till now;furniture/equipment;5511.0;100 <= ... < 500 DM;1 <= ... < 4 years;4.0;male : single;none;1.0;car or other;25.0;stores;own;1.0;skilled employee / official;1.0;none;yes;0
... >= 200 DM / salary assignments for at least 1 year;24.0;existing credits paid back duly till now;furniture/equipment;3749.0;... < 100 DM;... < 1 year;2.0;female : divorced/separated/married;none;4.0;car or other;26.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;12.0;existing credits paid back duly till now;car (new);685.0;... < 100 DM;4 <= ... < 7 years;2.0;male : married/widowed;none;3.0;car or other;25.0;bank;own;1.0;unskilled - resident;1.0;none;yes;1
... >= 200 DM / salary assignments for at least 1 year;4.0;existing credits paid back duly till now;car (new);1494.0;unknown/ no savings account;... < 1 year;1.0;male : single;none;2.0;real estate;29.0;none;own;1.0;unskilled - resident;2.0;none;no;0
... < 0 DM;36.0;all credits at this bank paid back duly;furniture/equipment;2746.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;car or other;31.0;bank;own;1.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;12.0;existing credits paid back duly till now;furniture/equipment;708.0;... < 100 DM;1 <= ... < 4 years;2.0;male : single;guarantor;3.0; building society savings agreement/ life insurance;38.0;none;own;1.0;unskilled - resident;2.0;none;yes;0
0 <= ... < 200 DM;24.0;existing credits paid back duly till now;furniture/equipment;4351.0;unknown/ no savings account;1 <= ... < 4 years;1.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;48.0;none;own;1.0;unskilled - resident;1.0;yes, registered under the customers name;yes;0
no checking account;12.0;critical account/ other credits existing (not at this bank);education;701.0;... < 100 DM;1 <= ... < 4 years;4.0;male : single;none;2.0;car or other;32.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;15.0;delay in paying off in the past;furniture/equipment;3643.0;... < 100 DM;.. >= 7 years;1.0;female : divorced/separated/married;none;4.0; building society savings agreement/ life insurance;27.0;none;own;2.0;unskilled - resident;1.0;none;yes;0
0 <= ... < 200 DM;30.0;critical account/ other credits existing (not at this bank);car (new);4249.0;... < 100 DM;unemployed;4.0;male : married/widowed;none;2.0;car or other;28.0;none;own;2.0;management/ self-employed/ highly qualified employee/ officer;1.0;none;yes;1
... < 0 DM;24.0;existing credits paid back duly till now;radio/television;1938.0;... < 100 DM;... < 1 year;4.0;male : divorced/separated;none;3.0; building society savings agreement/ life insurance;32.0;none;own;1.0;skilled employee / official;1.0;none;yes;1
... < 0 DM;24.0;existing credits paid back duly till now;car (used);2910.0;... < 100 DM;4 <= ... < 7 years;2.0;male : single;none;1.0;unknown / no property;34.0;none;for free;1.0;management/ self-employed/ highly qualified employee/ officer;1.0;yes, registered under the customers name;yes;0
... < 0 DM;18.0;existing credits paid back duly till now;furniture/equipment;2659.0;.. >= 1000 DM;1 <= ... < 4 years;4.0;male : single;none;2.0;car or other;28.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
no checking account;18.0;critical account/ other credits existing (not at this bank);car (new);1028.0;... < 100 DM;1 <= ... < 4 years;4.0;female : divorced/separated/married;none;3.0;real estate;36.0;none;own;2.0;skilled employee / official;1.0;none;yes;0
... < 0 DM;8.0;critical account/ other credits existing (not at this bank);car (new);3398.0;... < 100 DM;4 <= ... < 7 years;1.0;male : single;none;4.0;real estate;39.0;none;own;2.0;unskilled - resident;1.0;none;no;0
no checking account;12.0;critical account/ other credits existing (not at this bank);furniture/equipment;5801.0;unknown/ no savings account;.. >= 7 years;2.0;male : single;none;4.0; building society savings agreement/ life insurance;49.0;none;rent;1.0;skilled employee / official;1.0;yes, registered under the customers name;yes;0
no checking account;24.0;existing credits paid back duly till now;car (new);1525.0;.. >= 1000 DM;4 <= ... < 7 years;4.0;female : divorced/separated/married;none;3.0;car or other;34.0;none;own;1.0;skilled employee / official;2.0;yes, registered under the customers name;yes;0
... >= 200 DM / salary assignments for at least 1 year;36.0;existing credits paid back duly till now;radio/television;4473.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;2.0;car or other;31.0;none;own;1.0;skilled employee / official;1.0;none;yes;0
0 <= ... < 200 DM;6.0;existing credits paid back duly till now;radio/television;1068.0;... < 100 DM;.. >= 7 years;4.0;male : single;none;4.0;car or other;28.0;none;own;1.0;skilled employee / official;2.0;none;yes;0
